video,attempt,fps,address,clean_liftoff,clean_knee_pass,clean_catch,clean_recovery,clean_jerk_dip,arm_peak_velocity,clean_overhead,finish,note
IMG_4604,1,59.93,,,,,,,,,,模型未預測，需完整標註
IMG_4605,1,59.92,73,94,95,101,106,107,126,135,266,
IMG_4787,1,59.93,440,451,452,652,731,812,816,879,952,
IMG_4788,1,59.93,211,225,225,445,549,559,599,624,649,
IMG_8423,1,50.88,,,,,,,,,,模型未預測，需完整標註
IMG_8424,1,51.11,,,,,,,,,,模型未預測，需完整標註
IMG_8487,1,52.75,129,144,150,415,432,485,486,573,579,
IMG_8488,1,54.41,76,81,87,472,516,516,517,530,551,
IMG_8702,1,51.81,,,,,,,,,,模型未預測，需完整標註
IMG_8703,1,49.57,593,595,595,595,595,595,598,611,630,
IMG_8875,1,42.08,233,236,249,308,324,330,376,378,382,
IMG_8876,1,46.17,134,134,149,154,214,217,240,257,269,
